commodities,sectors,table,subtable
334,F02E,use,exogenous_final_demand
334,F02N,use,exogenous_final_demand
334,F02R,use,exogenous_final_demand
334,F02S,use,exogenous_final_demand
334,F030,use,exogenous_final_demand
334,F06C,use,exogenous_final_demand
334,F06E,use,exogenous_final_demand
334,F06N,use,exogenous_final_demand
334,F06S,use,exogenous_final_demand
334,F07C,use,exogenous_final_demand
334,F07E,use,exogenous_final_demand
334,F07N,use,exogenous_final_demand
334,F07S,use,exogenous_final_demand
334,F10C,use,exogenous_final_demand
334,F10E,use,exogenous_final_demand
334,F10N,use,exogenous_final_demand
334,F10S,use,exogenous_final_demand
335,F02E,use,exogenous_final_demand
335,F02N,use,exogenous_final_demand
335,F02R,use,exogenous_final_demand
335,F02S,use,exogenous_final_demand
335,F030,use,exogenous_final_demand
335,F06C,use,exogenous_final_demand
335,F06E,use,exogenous_final_demand
335,F06N,use,exogenous_final_demand
335,F06S,use,exogenous_final_demand
335,F07C,use,exogenous_final_demand
335,F07E,use,exogenous_final_demand
335,F07N,use,exogenous_final_demand
335,F07S,use,exogenous_final_demand
335,F10C,use,exogenous_final_demand
335,F10E,use,exogenous_final_demand
335,F10N,use,exogenous_final_demand
335,F10S,use,exogenous_final_demand
337,F02E,use,exogenous_final_demand
337,F02N,use,exogenous_final_demand
337,F02R,use,exogenous_final_demand
337,F02S,use,exogenous_final_demand
337,F030,use,exogenous_final_demand
337,F06C,use,exogenous_final_demand
337,F06E,use,exogenous_final_demand
337,F06N,use,exogenous_final_demand
337,F06S,use,exogenous_final_demand
337,F07C,use,exogenous_final_demand
337,F07E,use,exogenous_final_demand
337,F07N,use,exogenous_final_demand
337,F07S,use,exogenous_final_demand
337,F10C,use,exogenous_final_demand
337,F10E,use,exogenous_final_demand
337,F10N,use,exogenous_final_demand
337,F10S,use,exogenous_final_demand
339,F02E,use,exogenous_final_demand
339,F02N,use,exogenous_final_demand
339,F02R,use,exogenous_final_demand
339,F02S,use,exogenous_final_demand
339,F030,use,exogenous_final_demand
339,F06C,use,exogenous_final_demand
339,F06E,use,exogenous_final_demand
339,F06N,use,exogenous_final_demand
339,F06S,use,exogenous_final_demand
339,F07C,use,exogenous_final_demand
339,F07E,use,exogenous_final_demand
339,F07N,use,exogenous_final_demand
339,F07S,use,exogenous_final_demand
339,F10C,use,exogenous_final_demand
339,F10E,use,exogenous_final_demand
339,F10N,use,exogenous_final_demand
339,F10S,use,exogenous_final_demand
441,F02E,use,exogenous_final_demand
441,F02N,use,exogenous_final_demand
441,F02R,use,exogenous_final_demand
441,F02S,use,exogenous_final_demand
441,F030,use,exogenous_final_demand
441,F06C,use,exogenous_final_demand
