var_name,value,margin
A→dmott,0.984339732101238,0.0
A→dmche,1.006905816811081,.
A→dmair,1.077979213173455,.
A→dmmmf,1.007115613817137,.
A→dmotr,1.021080302158671,.
A→dmmin,1.016301554297362,.
"PA[(:ppd,)]",0.945634366715806,0.0
"PA[(:res,)]",0.90543867712731,0.0
"PA[(:com,)]",0.974365683919591,0.0
"PA[(:amb,)]",0.977095841132962,0.0
"PA[(:fbp,)]",0.905582267669105,0.0
"PA[(:rec,)]",0.923949507794608,-0.0
"PA[(:con,)]",0.961935252892953,0.0
"PA[(:agr,)]",0.969062008036982,0.0
"PA[(:eec,)]",0.937841430264541,0.0
"PA[(:fnd,)]",0.980078178617847,-0.0
"PA[(:pub,)]",0.95583418427088,0.0
"PA[(:hou,)]",1.000564224845268,-0.0
"PA[(:ins,)]",0.955382356337674,0.0
"PA[(:tex,)]",0.912723731642955,0.0
"PA[(:leg,)]",0.935148983851816,0.0
"PA[(:fen,)]",0.977486960024783,0.0
"PA[(:uti,)]",0.91926867919641,-0.0
"PA[(:nmp,)]",0.939368146502258,0.0
"PA[(:brd,)]",0.912847596901919,0.0
"PA[(:bnk,)]",0.979008388403024,0.0
"PA[(:ore,)]",0.965133800563757,0.0
"PA[(:edu,)]",0.978610356931356,0.0
"PA[(:ote,)]",0.961441906277194,0.0
"PA[(:man,)]",0.975562159120457,0.0
"PA[(:mch,)]",0.947639062595358,0.0
"PA[(:dat,)]",0.967952548894879,0.0
"PA[(:amd,)]",0.892822537933132,0.0
"PA[(:oil,)]",0.94498367031097,0.0
"PA[(:hos,)]",0.971305932495524,-0.0
"PA[(:rnt,)]",0.932068281200149,0.0
"PA[(:pla,)]",0.936752318323888,0.0
"PA[(:fof,)]",0.966165219281339,0.0
"PA[(:fin,)]",0.970513743779128,0.0
"PA[(:tsv,)]",0.974258324712793,0.0
"PA[(:nrs,)]",0.96122427476814,-0.0
"PA[(:sec,)]",0.973613671925933,0.0
"PA[(:art,)]",0.945780764528473,0.0
"PA[(:mov,)]",0.950536521655964,0.0
"PA[(:fpd,)]",0.926863029095559,0.0
"PA[(:slg,)]",0.971202574150363,0.0
"PA[(:pri,)]",0.953322688740146,0.0
"PA[(:grd,)]",0.961184232322708,0.0
"PA[(:pip,)]",0.779861394352841,-0.0
"PA[(:sle,)]",0.955519870549117,0.0
"PA[(:osv,)]",0.951762527535932,0.0
"PA[(:trn,)]",1.142429887672574,0.0
"PA[(:smn,)]",0.966755542464888,0.0
"PA[(:fmt,)]",0.947009242638513,0.0
"PA[(:pet,)]",0.820924986199769,0.0
"PA[(:cep,)]",0.95765728716341,0.0
"PA[(:wst,)]",0.954004515595608,0.0
"PA[(:mot,)]",0.929958825030277,0.0
"PA[(:adm,)]",0.967722382243623,0.0
"PA[(:soc,)]",0.969159090323747,-0.0
"PA[(:alt,)]",0.876066102511446,0.0
"PA[(:pmt,)]",0.959700147764591,0.0
"PA[(:trk,)]",0.942049355977554,0.0
"PA[(:fdd,)]",0.975397084578634,0.0
"PA[(:wtt,)]",0.947499648691634,-0.0
"PA[(:wpd,)]",0.944991670295178,0.0
"PA[(:wht,)]",0.975014889730265,0.0
"PA[(:wrh,)]",0.968571172380076,0.0
"PA[(:ott,)]",0.975257965858658,0.0
"PA[(:che,)]",0.944644314425006,0.0
"PA[(:air,)]",0.854371391992374,0.0
"PA[(:mmf,)]",0.933637755394454,0.0
"PA[(:otr,)]",0.960960790642656,0.0
"PA[(:min,)]",0.933400100454798,0.0
"PY[(:ppd,)]",0.95786828491253,-0.0
"PY[(:res,)]",0.968514036347872,-0.0
"PY[(:com,)]",0.98199622144756,-0.0
"PY[(:amb,)]",0.977572044511205,-0.0
"PY[(:fbp,)]",0.955374628517234,0.0
"PY[(:rec,)]",0.969420794308661,-0.0
"PY[(:con,)]",0.963061550089248,-0.0
"PY[(:agr,)]",0.958425574053402,-0.0
"PY[(:eec,)]",0.967618806162128,-0.0
"PY[(:fnd,)]",0.980078178617846,0.0
"PY[(:pub,)]",0.979870170189101,-0.0
"PY[(:hou,)]",0.982125982590756,-0.0
"PY[(:fbt,)]",0.976877321184649,0.0
"PY[(:ins,)]",0.971102517948271,-0.0
"PY[(:tex,)]",0.956418998016621,-0.0
"PY[(:leg,)]",0.979046062561603,-0.0
"PY[(:fen,)]",0.977465608357436,0.0
"PY[(:uti,)]",0.96287344104123,-0.0
"PY[(:nmp,)]",0.963907905451903,-0.0
"PY[(:brd,)]",0.962737673219172,0.0
"PY[(:bnk,)]",0.978021603310733,0.0
"PY[(:ore,)]",0.964580776857564,0.0
"PY[(:edu,)]",0.979278838592851,-0.0
"PY[(:ote,)]",0.97034296049649,-0.0
"PY[(:man,)]",0.978079420233111,0.0
"PY[(:mch,)]",0.965957070941403,-0.0
"PY[(:dat,)]",0.971309167908715,-0.0
"PY[(:amd,)]",0.970212485733436,0.0
"PY[(:oil,)]",0.970185926037971,-0.0
"PY[(:hos,)]",0.972895064159979,0.0
"PY[(:rnt,)]",0.975906206220767,-0.0
"PY[(:pla,)]",0.95899024407059,-0.0
"PY[(:fof,)]",0.97627358978777,-0.0
"PY[(:fin,)]",0.970714217367498,0.0
"PY[(:tsv,)]",0.976674040470558,-0.0
"PY[(:nrs,)]",0.972765533939963,-0.0
"PY[(:sec,)]",0.975817622751048,0.0
"PY[(:art,)]",0.976954076881991,-0.0
"PY[(:mov,)]",0.974591028382276,-0.0
"PY[(:fpd,)]",0.961626005379698,-0.0
"PY[(:slg,)]",0.971202574150362,0.0
"PY[(:pri,)]",0.962621089539756,-0.0
"PY[(:grd,)]",0.971695245983189,0.0
"PY[(:pip,)]",0.981294089296372,-0.0
"PY[(:sle,)]",0.955519870549118,0.0
"PY[(:osv,)]",0.974328651495346,-0.0
"PY[(:trn,)]",0.961539260438634,-0.0
"PY[(:smn,)]",0.966869521658821,-0.0
"PY[(:fmt,)]",0.969540221635288,-0.0
"PY[(:pet,)]",0.950760039626626,-0.0
"PY[(:mvt,)]",0.978123174030406,-0.0
"PY[(:cep,)]",0.98341694075702,-0.0
"PY[(:wst,)]",0.968385486494145,-0.0
"PY[(:mot,)]",0.950391900492716,-0.0
"PY[(:adm,)]",0.974370745580744,-0.0
"PY[(:soc,)]",0.972915645810867,-0.0
"PY[(:alt,)]",0.958960453974652,-0.0
"PY[(:pmt,)]",0.962191267050458,-0.0
"PY[(:trk,)]",0.952990571771178,0.0
"PY[(:fdd,)]",0.975397084578634,0.0
"PY[(:gmt,)]",0.977747436453799,0.0
"PY[(:wtt,)]",0.957500144879946,-0.0
"PY[(:wpd,)]",0.962446994403955,-0.0
"PY[(:wht,)]",0.974988265554489,-0.0
"PY[(:wrh,)]",0.969736198469406,0.0
"PY[(:ott,)]",0.975257965858678,-0.0
"PY[(:che,)]",0.961769820180238,-0.0
"PY[(:air,)]",0.952383914573338,-0.0
"PY[(:mmf,)]",0.970327484768535,-0.0
"PY[(:otr,)]",0.962834477818382,-0.0
"PY[(:min,)]",0.962596134899155,-0.0
"PVA[(:compen,)]",0.991599580694725,-0.0
"PVA[(:surplus,)]",0.984209753637054,0.0
"PM[(:trn,)]",0.957631149776448,0.0
"PM[(:trd,)]",0.975541247023314,0.0
PFX,0.973859560529329,0.0
PY→VAppd,0.988341328913796,0.0
PY→VAres,0.989898326987573,0.0
PY→VAcom,0.990387528571001,0.0
PY→VAamb,0.989935205315131,0.0
