domain,value,var,,,,
leg,0.979046065,PY,"PY[(:leg,)]",0.979046065,"PY[(:leg,)]",0.97904606
fen,0.97746561,PY,"PY[(:fen,)]",0.97746561,"PY[(:fen,)]",0.97746561
uti,0.962873444,PY,"PY[(:uti,)]",0.962873444,"PY[(:uti,)]",0.96287344
nmp,0.963907909,PY,"PY[(:nmp,)]",0.963907909,"PY[(:nmp,)]",0.96390791
brd,0.962737675,PY,"PY[(:brd,)]",0.962737675,"PY[(:brd,)]",0.96273767
bnk,0.978021604,PY,"PY[(:bnk,)]",0.978021604,"PY[(:bnk,)]",0.9780216
ore,0.964580779,PY,"PY[(:ore,)]",0.964580779,"PY[(:ore,)]",0.96458078
edu,0.97927884,PY,"PY[(:edu,)]",0.97927884,"PY[(:edu,)]",0.97927884
ote,0.970342961,PY,"PY[(:ote,)]",0.970342961,"PY[(:ote,)]",0.97034296
man,0.978079421,PY,"PY[(:man,)]",0.978079421,"PY[(:man,)]",0.97807942
mch,0.965957073,PY,"PY[(:mch,)]",0.965957073,"PY[(:mch,)]",0.96595707
dat,0.971309168,PY,"PY[(:dat,)]",0.971309168,"PY[(:dat,)]",0.97130917
amd,0.970212484,PY,"PY[(:amd,)]",0.970212484,"PY[(:amd,)]",0.97021249
oil,0.970185928,PY,"PY[(:oil,)]",0.970185928,"PY[(:oil,)]",0.97018593
hos,0.972895065,PY,"PY[(:hos,)]",0.972895065,"PY[(:hos,)]",0.97289506
rnt,0.975906207,PY,"PY[(:rnt,)]",0.975906207,"PY[(:rnt,)]",0.97590621
pla,0.958990246,PY,"PY[(:pla,)]",0.958990246,"PY[(:pla,)]",0.95899024
fof,0.97627359,PY,"PY[(:fof,)]",0.97627359,"PY[(:fof,)]",0.97627359
fin,0.970714214,PY,"PY[(:fin,)]",0.970714214,"PY[(:fin,)]",0.97071422
tsv,0.976674042,PY,"PY[(:tsv,)]",0.976674042,"PY[(:tsv,)]",0.97667404
nrs,0.972765534,PY,"PY[(:nrs,)]",0.972765534,"PY[(:nrs,)]",0.97276553
sec,0.975817624,PY,"PY[(:sec,)]",0.975817624,"PY[(:sec,)]",0.97581762
art,0.976954081,PY,"PY[(:art,)]",0.976954081,"PY[(:art,)]",0.97695408
mov,0.974591029,PY,"PY[(:mov,)]",0.974591029,"PY[(:mov,)]",0.97459103
fpd,0.961626007,PY,"PY[(:fpd,)]",0.961626007,"PY[(:fpd,)]",0.96162601
slg,0.971202576,PY,"PY[(:slg,)]",0.971202576,"PY[(:slg,)]",0.97120257
pri,0.962621093,PY,"PY[(:pri,)]",0.962621093,"PY[(:pri,)]",0.96262109
grd,0.971695246,PY,"PY[(:grd,)]",0.971695246,"PY[(:grd,)]",0.97169525
pip,0.98129409,PY,"PY[(:pip,)]",0.98129409,"PY[(:pip,)]",0.98129409
sle,0.955519879,PY,"PY[(:sle,)]",0.955519879,"PY[(:sle,)]",0.95551987
osv,0.974328653,PY,"PY[(:osv,)]",0.974328653,"PY[(:osv,)]",0.97432865
trn,0.961539261,PY,"PY[(:trn,)]",0.961539261,"PY[(:trn,)]",0.96153926
smn,0.966869523,PY,"PY[(:smn,)]",0.966869523,"PY[(:smn,)]",0.96686952
fmt,0.969540223,PY,"PY[(:fmt,)]",0.969540223,"PY[(:fmt,)]",0.96954022
pet,0.950760041,PY,"PY[(:pet,)]",0.950760041,"PY[(:pet,)]",0.95076004
mvt,0.978123175,PY,"PY[(:mvt,)]",0.978123175,"PY[(:mvt,)]",0.97812317
cep,0.983416944,PY,"PY[(:cep,)]",0.983416944,"PY[(:cep,)]",0.98341694
wst,0.968385487,PY,"PY[(:wst,)]",0.968385487,"PY[(:wst,)]",0.96838549
mot,0.9503919,PY,"PY[(:mot,)]",0.9503919,"PY[(:mot,)]",0.9503919
adm,0.974370747,PY,"PY[(:adm,)]",0.974370747,"PY[(:adm,)]",0.97437075
soc,0.972915646,PY,"PY[(:soc,)]",0.972915646,"PY[(:soc,)]",0.97291565
alt,0.958960454,PY,"PY[(:alt,)]",0.958960454,"PY[(:alt,)]",0.95896045
pmt,0.962191266,PY,"PY[(:pmt,)]",0.962191266,"PY[(:pmt,)]",0.96219127
trk,0.952990572,PY,"PY[(:trk,)]",0.952990572,"PY[(:trk,)]",0.95299057
fdd,0.975397084,PY,"PY[(:fdd,)]",0.975397084,"PY[(:fdd,)]",0.97539708
gmt,0.97774744,PY,"PY[(:gmt,)]",0.97774744,"PY[(:gmt,)]",0.97774744
wtt,0.957500146,PY,"PY[(:wtt,)]",0.957500146,"PY[(:wtt,)]",0.95750014
wpd,0.962446994,PY,"PY[(:wpd,)]",0.962446994,"PY[(:wpd,)]",0.96244699
wht,0.974988269,PY,"PY[(:wht,)]",0.974988269,"PY[(:wht,)]",0.97498827
wrh,0.969736198,PY,"PY[(:wrh,)]",0.969736198,"PY[(:wrh,)]",0.9697362
ott,0.975257967,PY,"PY[(:ott,)]",0.975257967,"PY[(:ott,)]",0.97525797
che,0.961769823,PY,"PY[(:che,)]",0.961769823,"PY[(:che,)]",0.96176982
air,0.952383918,PY,"PY[(:air,)]",0.952383918,"PY[(:air,)]",0.95238391
mmf,0.970327489,PY,"PY[(:mmf,)]",0.970327489,"PY[(:mmf,)]",0.97032748
otr,0.96283448,PY,"PY[(:otr,)]",0.96283448,"PY[(:otr,)]",0.96283448
min,0.962596137,PY,"PY[(:min,)]",0.962596137,"PY[(:min,)]",0.96259613
compen,0.991599582,PVA,"PVA[(:compen,)]",0.991599582,"PVA[(:compen,)]",0.99159958
surplus,0.984209755,PVA,"PVA[(:surplus,)]",0.984209755,"PVA[(:surplus,)]",0.98420975
trn,0.957631152,PM,"PM[(:trn,)]",0.957631152,"PM[(:trn,)]",0.95763115
trd,0.97554125,PM,"PM[(:trd,)]",0.97554125,"PM[(:trd,)]",0.97554125
,0.973859562,PFX,PFX,0.973859562,PFX,0.97385956
,12453.89632,RA,RA,12453.89632,RA,12453.8963
