yr,i,j,value,
1998,nmp,ppd,0.2845929614651170,
2004,nmp,ppd,0.2830330061897780,
2000,nmp,ppd,0.2887259133358720,
1997,nmp,ppd,0.2640896269512780,
2007,nmp,ppd,0.4577958164374850,
2010,nmp,ppd,0.4979959315186390,
2003,nmp,ppd,0.2409573316843950,
2011,nmp,ppd,0.5500916700052310,
2001,nmp,ppd,0.2555255706141900,
2008,brd,ppd,0.3660495653911560,
2009,brd,ppd,0.3209925729150220,
2005,brd,ppd,0.4138257098524180,
2006,brd,ppd,0.4153036802323960,
2012,brd,ppd,0.3677057388315330,
2014,brd,ppd,0.3449236494043930,
2013,brd,ppd,0.3521678295375270,
1999,brd,ppd,0.2733820961676780,
2002,brd,ppd,0.3566787418603590,
2017,brd,ppd,0.2662994398433820,
2016,brd,ppd,0.2755027952762590,
2015,brd,ppd,0.2631960049779490,
1998,brd,ppd,0.2517257092833200,
2004,brd,ppd,0.3330840560561470,
2000,brd,ppd,0.3154082625023590,
1997,brd,ppd,0.1921633986410490,
2007,brd,ppd,0.4426792959685680,
2010,brd,ppd,0.2951253461300700,
2003,brd,ppd,0.3441799788026320,
2011,brd,ppd,0.2773773897731440,
2001,brd,ppd,0.3607644952834510,
2008,bnk,ppd,0.4685043921826120,
2009,bnk,ppd,0.4521743995554030,
2005,bnk,ppd,0.5111689705793130,
2006,bnk,ppd,0.5466931187483380,
2012,bnk,ppd,0.4405727328748720,
2014,bnk,ppd,0.3672912887601010,
2013,bnk,ppd,0.3977932261700380,
1999,bnk,ppd,0.3467505634497870,
2002,bnk,ppd,0.4345195234165660,
2017,bnk,ppd,0.2984992211759860,
2016,bnk,ppd,0.3307593983958940,
2015,bnk,ppd,0.3215285496487380,
1998,bnk,ppd,0.3567199601131890,
2004,bnk,ppd,0.4096761091528120,
2000,bnk,ppd,0.3582753517282870,
1997,bnk,ppd,0.2889973929499130,
2007,bnk,ppd,0.5163169457473230,
2010,bnk,ppd,0.4000172612514950,
2003,bnk,ppd,0.4929692730195340,
2011,bnk,ppd,0.2918566900494140,
2001,bnk,ppd,0.3990360042044840,
2008,ore,ppd,0.5102465155961280,
2009,ore,ppd,0.5782856662099080,
2005,ore,ppd,0.7161595267048140,
2006,ore,ppd,0.5165621021581700,
2012,ore,ppd,0.8712111157578250,
2014,ore,ppd,0.9218949523295350,
2013,ore,ppd,0.8948980930524370,
1999,ore,ppd,0.3422046345769010,
2002,ore,ppd,0.8325315780981450,
2017,ore,ppd,1.1177366784646900,
2016,ore,ppd,0.9640962232191080,
2015,ore,ppd,0.8537325115843340,
1998,ore,ppd,0.4360477069430020,
2004,ore,ppd,0.6613585550497560,
2000,ore,ppd,0.4720647059896300,
1997,ore,ppd,0.4133822571530550,
2007,ore,ppd,0.5051368085000580,
2010,ore,ppd,0.6274075411709670,
2003,ore,ppd,0.6573356451969190,
2011,ore,ppd,0.6696524804467870,
2001,ore,ppd,0.6355694235481730,
2008,edu,ppd,#N/A,
2009,edu,ppd,#N/A,
2005,edu,ppd,#N/A,
2006,edu,ppd,#N/A,
2012,edu,ppd,#N/A,
2014,edu,ppd,#N/A,
2013,edu,ppd,#N/A,
1999,edu,ppd,#N/A,
2002,edu,ppd,#N/A,
2017,edu,ppd,#N/A,
2016,edu,ppd,#N/A,
2015,edu,ppd,#N/A,
1998,edu,ppd,#N/A,
2004,edu,ppd,#N/A,
2000,edu,ppd,#N/A,
1997,edu,ppd,#N/A,
2007,edu,ppd,#N/A,
