yr,i,value,,
2013,uti,625.6000542,,
1999,uti,377.4148753,,
2002,uti,392.9233752,,
2017,uti,626.4995678,,
2016,uti,615.7221633,,
2015,uti,652.7406875,,
1998,uti,328.8601197,,
2004,uti,425.8813933,,
2000,uti,438.2798509,,
1997,uti,320.5952096,,
2007,uti,542.2403293,,
2010,uti,610.3096316,,
2003,uti,413.3570568,,
2011,uti,607.3314506,,
2001,uti,513.8053853,,
2008,nmp,176.756836,,
2009,nmp,137.5481761,,
2005,nmp,178.97544,,
2006,nmp,197.6417666,,
2012,nmp,155.9523341,,
2014,nmp,181.7932104,,
2013,nmp,166.9746246,,
1999,nmp,138.0898974,,
2002,nmp,144.1047967,,
2017,nmp,216.6236272,,
2016,nmp,204.1954907,,
2015,nmp,194.439428,,
1998,nmp,130.6847549,,
2004,nmp,160.6982515,,
2000,nmp,143.4597796,,
1997,nmp,120.7670927,,
2007,nmp,200.52367,,
2010,nmp,142.5022412,,
2003,nmp,149.5848833,,
2011,nmp,150.4336825,,
2001,nmp,140.0271309,,
2008,brd,557.5517732,,
2009,brd,557.2008847,,
2005,brd,516.2239751,,
2006,brd,526.7550558,,
2012,brd,607.2059612,,
2014,brd,656.2021814,,
2013,brd,622.4975072,,
1999,brd,428.883606,,
2002,brd,492.2399344,,
2017,brd,697.5132818,,
2016,brd,703.7946619,,
2015,brd,674.9009538,,
1998,brd,377.7589635,,
2004,brd,495.9237392,,
2000,brd,476.4391296,,
1997,brd,341.019064,,
2007,brd,543.9980977,,
2010,brd,572.7895765,,
2003,brd,488.6085933,,
2011,brd,591.0681926,,
2001,brd,497.0530469,,
2008,bnk,592.4078752,,
2009,bnk,584.5105297,,
2005,bnk,569.4623311,,
2006,bnk,593.5282301,,
2012,bnk,644.2391805,,
2014,bnk,686.183611,,
2013,bnk,652.3097601,,
1999,bnk,383.1967539,,
2002,bnk,480.2162102,,
2017,bnk,769.8555787,,
2016,bnk,720.9658982,,
2015,bnk,686.6379748,,
1998,bnk,345.7993942,,
2004,bnk,531.5252931,,
2000,bnk,424.0146041,,
1997,bnk,313.8523252,,
2007,bnk,613.3979866,,
2010,bnk,587.4398127,,
2003,bnk,512.1761715,,
2011,bnk,578.6122641,,
2001,bnk,449.3081515,,
2008,ore,830.4477263,,
2009,ore,775.9664514,,
2005,ore,900.017947,,
2006,ore,912.9996904,,
2012,ore,914.3998334,,
2014,ore,1058.769419,,
2013,ore,990.0349984,,
1999,ore,448.5266924,,
2002,ore,592.3827631,,
2017,ore,1307.065888,,
2016,ore,1220.663518,,
2015,ore,1125.226501,,
1998,ore,420.4833778,,
2004,ore,767.2762548,,
2000,ore,502.0219037,,
1997,ore,402.2090705,,
2007,ore,898.2649926,,
2010,ore,825.6678728,,
2003,ore,657.3500165,,
2011,ore,848.5800227,,
2001,ore,526.6467159,,
2008,edu,285.9773209,,
2009,edu,300.1001581,,
2005,edu,227.3459635,,
2006,edu,247.5925188,,
2012,edu,334.169811,,
2014,edu,354.8920294,,
2013,edu,343.615519,,
1999,edu,153.901077,,
2002,edu,193.4027618,,
2017,edu,393.9034937,,
2016,edu,378.9785499,,
2015,edu,366.5080639,,
1998,edu,143.4974913,,
2004,edu,214.7996972,,
2000,edu,167.3227621,,
1997,edu,133.324943,,
2007,edu,267.5246955,,
2010,edu,316.6201484,,
2003,edu,205.6413757,,
2011,edu,329.8988016,,
2001,edu,182.5680557,,
2008,ote,220.7167201,,
2009,ote,188.4087248,,
2005,ote,166.5024522,,
2006,ote,162.9489986,,
2012,ote,235.5437446,,
2014,ote,263.6055623,,
2013,ote,245.0375418,,
1999,ote,142.562707,,
2002,ote,146.9371273,,
2017,ote,264.1694167,,
2016,ote,251.0659538,,
2015,ote,271.6077509,,
1998,ote,141.9318583,,
2004,ote,149.2296719,,
2000,ote,139.2422941,,
1997,ote,116.7643569,,
2007,ote,208.7774915,,
2010,ote,201.6845243,,
2003,ote,142.1869761,,
2011,ote,215.1288676,,
2001,ote,153.090552,,
2008,man,415.9496044,,
2009,man,385.3814197,,
2005,man,341.9714243,,
2006,man,372.1167463,,
2012,man,462.0405569,,
2014,man,512.7416599,,
2013,man,481.1378961,,
1999,man,230.20519,,
2002,man,253.2330046,,
2017,man,580.3950646,,
2016,man,545.5310075,,
2015,man,541.7217394,,
1998,man,212.4376282,,
2004,man,308.4902829,,
2000,man,249.7697225,,
1997,man,186.7936382,,
2007,man,417.5427484,,
2010,man,406.3891911,,
2003,man,271.4134416,,
2011,man,430.3001763,,
2001,man,249.7560541,,
2008,mch,457.829989,,
2009,mch,362.8714993,,
2005,mch,408.2154986,,
2006,mch,436.4829774,,
2012,mch,557.8672946,,
2014,mch,592.1491144,,
2013,mch,550.9151775,,
1999,mch,351.3772836,,
2002,mch,328.4451697,,
2017,mch,595.2621951,,
2016,mch,549.1419788,,
2015,mch,574.2469723,,
1998,mch,352.0558588,,
2004,mch,365.328532,,
2000,mch,370.2954323,,
1997,mch,328.8509302,,
2007,mch,450.9136693,,
2010,mch,415.4861565,,
2003,mch,344.3525987,,
2011,mch,494.8625642,,
2001,mch,337.7786977,,
2008,dat,120.5114314,,
2009,dat,123.8268433,,
2005,dat,88.58799969,,
2006,dat,100.0508419,,
2012,dat,166.6269967,,
2014,dat,187.3382314,,
2013,dat,177.0957282,,
1999,dat,66.16774862,,
2002,dat,72.78047422,,
2017,dat,247.2273594,,
2016,dat,222.7945807,,
2015,dat,203.8052637,,
1998,dat,50.59244216,,
2004,dat,82.5511061,,
2000,dat,71.04057402,,
1997,dat,46.76448825,,
2007,dat,109.4911537,,
2010,dat,134.5659248,,
2003,dat,75.33023943,,
2011,dat,148.6946824,,
2001,dat,69.67713741,,
2008,amd,149.9673975,,
2009,amd,142.3907938,,
2005,amd,129.9275656,,
2006,amd,138.3555018,,
2012,amd,174.8587582,,
2014,amd,198.3401519,,
2013,amd,183.8327887,,
1999,amd,99.0908165,,
2002,amd,105.7325814,,
2017,amd,224.5894855,,
2016,amd,217.9864251,,
2015,amd,210.2312731,,
1998,amd,93.10132909,,
2004,amd,119.6149444,,
2000,amd,109.3224407,,
1997,amd,88.2958696,,
2007,amd,143.8458056,,
2010,amd,149.6831458,,
2003,amd,110.5445041,,
2011,amd,160.678519,,
2001,amd,104.0808771,,
2008,oil,760.1066023,,
2009,oil,431.2323243,,
2005,oil,458.0677593,,
2006,oil,499.8949565,,
2012,oil,675.9802474,,
2014,oil,698.0192159,,
2013,oil,677.9773059,,
1999,oil,158.9981509,,
2002,oil,209.0006555,,
2017,oil,414.8329289,,
2016,oil,341.2064951,,
2015,oil,407.2114065,,
1998,oil,134.8646235,,
2004,oil,351.603137,,
2000,oil,251.3154909,,
1997,oil,176.0872084,,
2007,oil,546.180577,,
