yr,i,fd,value
1997,amd,fed_structures,-9.97E-09
2007,amd,fed_structures,-9.97E-09
2010,amd,fed_structures,-9.97E-09
2003,amd,fed_structures,-9.99E-09
2011,amd,fed_structures,-9.97E-09
2001,amd,fed_structures,-9.99E-09
2008,oil,fed_structures,-9.97E-09
2009,oil,fed_structures,-9.97E-09
2005,oil,fed_structures,-9.97E-09
2006,oil,fed_structures,-9.97E-09
2012,oil,fed_structures,-9.99E-09
2014,oil,fed_structures,-9.99E-09
2013,oil,fed_structures,-9.99E-09
1999,oil,fed_structures,-9.97E-09
2002,oil,fed_structures,-9.99E-09
2017,oil,fed_structures,-9.99E-09
2016,oil,fed_structures,-9.97E-09
2015,oil,fed_structures,-9.97E-09
1998,oil,fed_structures,-9.97E-09
2004,oil,fed_structures,-9.97E-09
2000,oil,fed_structures,-9.99E-09
1997,oil,fed_structures,-9.97E-09
2007,oil,fed_structures,-9.97E-09
2010,oil,fed_structures,-9.97E-09
2003,oil,fed_structures,-9.99E-09
2011,oil,fed_structures,-9.97E-09
2001,oil,fed_structures,-9.99E-09
2008,hos,fed_structures,-9.97E-09
2009,hos,fed_structures,-9.97E-09
2005,hos,fed_structures,-9.97E-09
2006,hos,fed_structures,-9.97E-09
2012,hos,fed_structures,-9.99E-09
2014,hos,fed_structures,-9.99E-09
2013,hos,fed_structures,-9.99E-09
1999,hos,fed_structures,-9.97E-09
2002,hos,fed_structures,-9.99E-09
2017,hos,fed_structures,-9.99E-09
2016,hos,fed_structures,-9.97E-09
2015,hos,fed_structures,-9.97E-09
1998,hos,fed_structures,-9.97E-09
2004,hos,fed_structures,-9.97E-09
2000,hos,fed_structures,-9.99E-09
1997,hos,fed_structures,-9.97E-09
2007,hos,fed_structures,-9.97E-09
2010,hos,fed_structures,-9.97E-09
2003,hos,fed_structures,-9.99E-09
2011,hos,fed_structures,-9.97E-09
2001,hos,fed_structures,-9.99E-09
2008,rnt,fed_structures,-9.97E-09
2009,rnt,fed_structures,-9.97E-09
2005,rnt,fed_structures,-9.97E-09
2006,rnt,fed_structures,-9.97E-09
2012,rnt,fed_structures,-9.99E-09
2014,rnt,fed_structures,-9.99E-09
2013,rnt,fed_structures,-9.99E-09
1999,rnt,fed_structures,-9.97E-09
2002,rnt,fed_structures,-9.99E-09
2017,rnt,fed_structures,-9.99E-09
2016,rnt,fed_structures,-9.97E-09
2015,rnt,fed_structures,-9.97E-09
1998,rnt,fed_structures,-9.97E-09
2004,rnt,fed_structures,-9.97E-09
2000,rnt,fed_structures,-9.99E-09
1997,rnt,fed_structures,-9.97E-09
2007,rnt,fed_structures,-9.97E-09
2010,rnt,fed_structures,-9.97E-09
2003,rnt,fed_structures,-9.99E-09
2011,rnt,fed_structures,-9.97E-09
2001,rnt,fed_structures,-9.99E-09
2008,pla,fed_structures,-9.97E-09
2009,pla,fed_structures,-9.97E-09
2005,pla,fed_structures,-9.97E-09
2006,pla,fed_structures,-9.97E-09
2012,pla,fed_structures,-9.99E-09
2014,pla,fed_structures,-9.99E-09
2013,pla,fed_structures,-9.99E-09
1999,pla,fed_structures,-9.97E-09
2002,pla,fed_structures,-9.99E-09
2017,pla,fed_structures,-9.99E-09
2016,pla,fed_structures,-9.97E-09
2015,pla,fed_structures,-9.97E-09
1998,pla,fed_structures,-9.97E-09
2004,pla,fed_structures,-9.97E-09
2000,pla,fed_structures,-9.99E-09
1997,pla,fed_structures,-9.97E-09
2007,pla,fed_structures,-9.97E-09
2010,pla,fed_structures,-9.97E-09
2003,pla,fed_structures,-9.99E-09
2011,pla,fed_structures,-9.97E-09
2001,pla,fed_structures,-9.99E-09
2008,fof,fed_structures,-9.97E-09
2009,fof,fed_structures,-9.97E-09
2005,fof,fed_structures,-9.97E-09
2006,fof,fed_structures,-9.97E-09
2012,fof,fed_structures,-9.99E-09
2014,fof,fed_structures,-9.99E-09
2013,fof,fed_structures,-9.99E-09
1999,fof,fed_structures,-9.97E-09
2002,fof,fed_structures,-9.99E-09
2017,fof,fed_structures,-9.99E-09
2016,fof,fed_structures,-9.97E-09
2015,fof,fed_structures,-9.97E-09
1998,fof,fed_structures,-9.97E-09
2004,fof,fed_structures,-9.97E-09
2000,fof,fed_structures,-9.99E-09
1997,fof,fed_structures,-9.97E-09
2007,fof,fed_structures,-9.97E-09
2010,fof,fed_structures,-9.97E-09
2003,fof,fed_structures,-9.99E-09
2011,fof,fed_structures,-9.97E-09
2001,fof,fed_structures,-9.99E-09
2008,fin,fed_structures,-9.97E-09
2009,fin,fed_structures,-9.97E-09
2005,fin,fed_structures,-9.97E-09
