yr,i,fd,Value
2015,eec,equipment,34.75219266
2015,eec,pce,84.0185541
2015,eec,fed_intelprop,1.67E-11
2015,fnd,nondefense,368.9151255
2015,fnd,fed_intelprop,1.66E-11
2015,pub,changinv,2.612507544
2015,pub,def_intelprop,1.582972664
2015,pub,state_intelprop,5.376683146
2015,pub,intelprop,117.0114103
2015,pub,pce,112.6060054
2015,pub,state_consume,1.67E-11
2015,pub,fed_intelprop,2.028937041
2015,hou,pce,1936.121518
2015,hou,state_consume,1.66E-11
2015,ins,residential,9.353289567
2015,ins,pce,350.9360634
2015,ins,state_consume,1.66E-11
2015,tex,changinv,1.692701223
2015,tex,state_equipment,0.005043931
2015,tex,fed_equipment,0.066578252
2015,tex,defense,1.67E-11
2015,tex,residential,1.672526
2015,tex,equipment,4.163157287
2015,tex,pce,70.38126572
2015,leg,def_structures,1.67E-11
2015,leg,residential,21.24666909
2015,leg,pce,96.56732886
2015,fen,pce,6.737161991
2015,fen,fed_intelprop,1.68E-11
2015,uti,pce,262.6332064
2015,uti,fed_intelprop,1.67E-11
2015,nmp,changinv,1.89801145
2015,nmp,pce,19.97493423
2015,nmp,fed_intelprop,1.67E-11
2015,brd,equipment,6.736137378
2015,brd,intelprop,26.85189149
2015,brd,pce,322.8105283
2015,brd,fed_intelprop,1.67E-11
2015,bnk,pce,215.9569904
2015,bnk,fed_intelprop,1.67E-11
2015,ore,structures,19.40719208
2015,ore,residential,107.6052714
2015,ore,pce,4.992589034
2015,ore,fed_intelprop,1.66E-11
2015,edu,pce,329.0893801
2015,edu,fed_intelprop,1.67E-11
2015,ote,def_equipment,35.70035477
2015,ote,changinv,8.905580852
2015,ote,state_equipment,0.516207572
2015,ote,fed_equipment,2.762110624
2015,ote,equipment,75.12920873
2015,ote,pce,32.04388454
2015,ote,fed_intelprop,1.66E-11
2015,man,fed_intelprop,1.67E-11
2015,mch,def_equipment,0.453293573
2015,mch,changinv,4.253521859
2015,mch,state_equipment,6.017446918
2015,mch,fed_equipment,0.450278316
2015,mch,equipment,314.3595881
2015,mch,pce,17.93675591
2015,mch,fed_intelprop,1.67E-11
2015,dat,def_intelprop,0.415978634
2015,dat,state_intelprop,1.265891792
2015,dat,intelprop,10.85235361
2015,dat,pce,40.71004234
2015,dat,state_consume,1.68E-11
2015,dat,fed_intelprop,0.39503007
2015,amd,pce,146.731166
2015,amd,fed_intelprop,1.67E-11
2015,oil,changinv,5.2677607
2015,oil,state_consume,1.66E-11
2015,hos,state_intelprop,1.66E-11
2015,hos,pce,981.7167334
2015,rnt,pce,91.64164976
2015,rnt,fed_intelprop,1.67E-11
2015,pla,changinv,4.070857687
2015,pla,fed_equipment,0.017096037
2015,pla,residential,0.25643991
2015,pla,equipment,0.324823882
2015,pla,state_intelprop,1.67E-11
2015,pla,pce,65.1437794
2015,fof,changinv,0.809883871
2015,fof,state_intelprop,1.67E-11
2015,fof,pce,8.595835676
2015,fin,pce,160.7705685
2015,fin,fed_intelprop,1.66E-11
2015,tsv,def_intelprop,56.38605223
2015,tsv,residential,2.230966349
2015,tsv,equipment,37.4482923
2015,tsv,state_intelprop,18.52051433
2015,tsv,intelprop,379.3521193
2015,tsv,pce,66.31010922
2015,tsv,state_consume,1.66E-11
2015,tsv,fed_intelprop,69.57720222
2015,nrs,pce,228.4288249
2015,nrs,fed_intelprop,1.66E-11
2015,sec,pce,224.8967511
2015,sec,fed_intelprop,1.66E-11
2015,art,intelprop,4.623388112
2015,art,pce,70.59097515
2015,art,fed_intelprop,1.67E-11
2015,mov,changinv,0.120730331
2015,mov,intelprop,34.70447837
2015,mov,pce,33.96413213
2015,mov,fed_intelprop,1.66E-11
2015,fpd,changinv,3.041160564
2015,fpd,state_equipment,0.664718022
2015,fpd,fed_equipment,0.059511949
2015,fpd,residential,0.737342751
2015,fpd,equipment,41.19032589
2015,fpd,pce,110.399676
2015,fpd,fed_intelprop,1.66E-11
2015,slg,state_consume,1660.507413
2015,slg,fed_intelprop,1.66E-11
2015,pri,changinv,1.609078001
2015,pri,pce,11.67108537
2015,pri,fed_intelprop,1.68E-11
2015,grd,state_equipment,1.67E-11
2015,grd,pce,40.82462397
2015,pip,nondefense,1.66E-11
2015,sle,structures,1.67E-11
2015,sle,pce,67.17556836
2015,osv,pce,570.5571564
2015,osv,state_consume,1.67E-11
2015,trn,fed_structures,1.66E-11
2015,trn,pce,1.449468546
2015,smn,changinv,7.75E-07
2015,smn,structures,136.7690204
2015,smn,equipment,2.936552763
2015,smn,fed_intelprop,1.66E-11
2015,fmt,def_equipment,1.335916668
2015,fmt,changinv,5.707460906
2015,fmt,state_equipment,0.403881792
2015,fmt,fed_equipment,0.668459434
2015,fmt,equipment,16.63531932
2015,fmt,pce,37.05289631
2015,fmt,fed_intelprop,1.67E-11
2015,pet,changinv,14.26647546
2015,pet,pce,310.3876531
2015,pet,fed_intelprop,1.67E-11
2015,cep,def_equipment,15.31996761
2015,cep,changinv,7.089693114
2015,cep,state_equipment,6.380221345
2015,cep,fed_equipment,9.183941227
2015,cep,residential,0.471306327
2015,cep,equipment,267.5331621
2015,cep,pce,157.3198379
2015,cep,fed_intelprop,1.66E-11
2015,wst,fed_structures,1.67E-11
2015,wst,pce,23.22057826
2015,mot,def_equipment,19.09599837
2015,mot,changinv,10.97239177
2015,mot,state_equipment,28.72985273
2015,mot,nondefense,1.66E-11
2015,mot,fed_equipment,4.887217971
2015,mot,equipment,322.8375489
2015,mot,pce,327.0700584
2015,adm,equipment,1.66E-11
2015,adm,pce,55.64061745
2015,soc,pce,187.6434637
2015,soc,state_consume,1.66E-11
2015,alt,changinv,4.238952558
2015,alt,defense,1.66E-11
2015,alt,pce,388.2486922
2015,pmt,changinv,0.848844101
2015,pmt,pce,0.855573329
2015,pmt,fed_intelprop,1.66E-11
2015,trk,pce,11.96870082
2015,trk,fed_intelprop,1.68E-11
2015,fdd,defense,585.4308581
2015,fdd,fed_intelprop,1.66E-11
2015,wtt,pce,18.9822907
2015,wtt,fed_intelprop,1.67E-11
2015,wpd,changinv,1.634858876
2015,wpd,fed_equipment,0.135819057
2015,wpd,structures,0.359165928
2015,wpd,residential,7.101826933
2015,wpd,pce,9.940947997
2015,wpd,fed_intelprop,1.67E-11
2015,wht,state_intelprop,1.67E-11
2015,wrh,equipment,1.67E-11
2015,wrh,pce,0.170810391
2015,ott,fed_equipment,1.66E-11
2015,ott,pce,4.558753268
2015,che,changinv,16.68490412
2015,che,state_invest,1.66E-11
2015,che,equipment,2.421401123
2015,che,pce,580.6507791
2015,air,defense,1.67E-11
2015,air,pce,116.6004389
2015,mmf,def_equipment,0.022178523
2015,mmf,changinv,5.141377015
2015,mmf,state_equipment,0.410302058
2015,mmf,fed_equipment,0.117949251
2015,mmf,equipment,70.41367844
2015,mmf,pce,239.3804974
2015,mmf,fed_intelprop,1.66E-11
2015,otr,def_structures,1.67E-11
2015,otr,pce,21.36200922
2015,min,changinv,1.961598591
2015,min,structures,1.68E-11
2015,min,equipment,0.287501483
2015,min,pce,0.264541296
2014,ppd,changinv,1.371526589
2014,ppd,pce,43.31304954
2014,ppd,fed_intelprop,9.25E-12
2014,res,pce,625.8580374
2014,res,fed_intelprop,9.22E-12
2014,com,def_equipment,0.792242401
2014,com,state_equipment,0.309313787
2014,com,def_intelprop,7.056345392
2014,com,equipment,22.07003729
2014,com,state_intelprop,8.29160495
2014,com,intelprop,180.9934633
2014,com,state_consume,9.25E-12
2014,com,fed_intelprop,18.37224091
2014,amb,pce,897.506668
2014,amb,fed_intelprop,9.21E-12
2014,fbp,changinv,6.868480167
2014,fbp,pce,955.6771122
2014,fbp,fed_intelprop,9.20E-12
2014,rec,pce,174.8015043
2014,rec,fed_intelprop,9.18E-12
2014,con,fed_structures,12.21119888
2014,con,def_structures,5.25435239
2014,con,state_invest,262.8415099
2014,con,structures,373.2498508
2014,con,residential,416.6074998
2014,con,fed_intelprop,9.19E-12
2014,agr,changinv,2.96E-09
2014,agr,pce,130.7783903
2014,agr,fed_intelprop,9.21E-12
2014,eec,def_equipment,0.534890615
2014,eec,changinv,2.340271871
2014,eec,state_equipment,1.110926658
2014,eec,fed_equipment,0.751656791
2014,eec,residential,8.450870247
2014,eec,equipment,36.15980961
2014,eec,pce,81.22409276
2014,eec,fed_intelprop,9.23E-12
2014,fnd,nondefense,352.4582244
2014,fnd,fed_intelprop,9.19E-12
2014,pub,changinv,1.994821567
2014,pub,def_intelprop,1.768935884
2014,pub,state_intelprop,5.486512256
2014,pub,intelprop,108.1169193
2014,pub,pce,111.8234524
2014,pub,state_consume,9.22E-12
2014,pub,fed_intelprop,2.370293768
2014,hou,fed_structures,9.20E-12
2014,hou,pce,1824.732044
2014,ins,residential,8.013172673
2014,ins,pce,336.0781905
2014,ins,fed_intelprop,9.21E-12
2014,tex,changinv,1.421794984
2014,tex,state_equipment,0.013099479
2014,tex,fed_equipment,0.07456615
2014,tex,residential,1.579996126
2014,tex,equipment,4.228101874
2014,tex,pce,67.09340684
2014,tex,fed_intelprop,9.24E-12
2014,leg,fed_structures,9.29E-12
2014,leg,residential,18.19474401
2014,leg,pce,93.10113005
2014,fen,pce,7.142294393
2014,fen,fed_intelprop,9.32E-12
2014,uti,pce,268.1707316
2014,uti,fed_intelprop,9.24E-12
2014,nmp,changinv,1.40933296
2014,nmp,pce,19.04960101
2014,nmp,fed_intelprop,9.25E-12
2014,brd,equipment,7.088764787
2014,brd,intelprop,25.11035627
2014,brd,pce,314.1637009
2014,brd,fed_intelprop,9.23E-12
2014,bnk,pce,200.9305889
2014,bnk,fed_intelprop,9.23E-12
2014,ore,structures,17.38765504
2014,ore,residential,97.71075774
2014,ore,pce,5.386740238
2014,ore,fed_intelprop,9.21E-12
2014,edu,pce,318.4824677
2014,edu,fed_intelprop,9.21E-12
2014,ote,def_equipment,37.45665402
2014,ote,changinv,3.881994991
2014,ote,state_equipment,0.722626774
2014,ote,fed_equipment,2.6246444
2014,ote,equipment,71.23520775
2014,ote,pce,29.38582253
2014,ote,fed_intelprop,9.20E-12
2014,man,fed_intelprop,9.25E-12
2014,mch,def_equipment,1.028936944
2014,mch,changinv,7.779767114
