yr,m,i,Value
2012,trn,min,32.13387054
2012,trd,ppd,39.87366492
2012,trd,res,1.78E-12
2012,trd,com,1.78E-12
2012,trd,amb,1.78E-12
2012,trd,fbp,380.2999249
2012,trd,rec,1.79E-12
2012,trd,con,1.78E-12
2012,trd,agr,74.66271474
2012,trd,eec,79.98374065
2012,trd,fnd,1.78E-12
2012,trd,pub,70.07551869
2012,trd,hou,1.78E-12
2012,trd,ins,1.78E-12
2012,trd,tex,55.59188407
2012,trd,leg,1.77E-12
2012,trd,fen,1.76E-12
2012,trd,uti,1.77E-12
2012,trd,nmp,30.47910578
2012,trd,brd,1.77E-12
2012,trd,bnk,1.77E-12
2012,trd,ore,1.77E-12
2012,trd,edu,1.78E-12
2012,trd,ote,24.0294269
2012,trd,man,1.77E-12
2012,trd,mch,152.7274698
2012,trd,dat,1.77E-12
2012,trd,amd,1.78E-12
2012,trd,oil,12.5822146
2012,trd,hos,1.78E-12
2012,trd,rnt,1.76E-12
2012,trd,pla,83.60546433
2012,trd,fof,9.664594333
2012,trd,fin,1.78E-12
2012,trd,tsv,1.77E-12
2012,trd,nrs,1.78E-12
2012,trd,sec,1.77E-12
2012,trd,art,1.77E-12
2012,trd,mov,9.193922044
2012,trd,fpd,63.41857684
2012,trd,slg,1.78E-12
2012,trd,pri,12.53924387
2012,trd,grd,1.78E-12
2012,trd,pip,1.74E-12
2012,trd,sle,1.77E-12
2012,trd,osv,1.78E-12
2012,trd,trn,1.77E-12
2012,trd,smn,1.78E-12
2012,trd,fmt,85.47141447
2012,trd,pet,132.1691106
2012,trd,cep,200.1770646
2012,trd,wst,1.78E-12
2012,trd,mot,155.1975683
2012,trd,adm,1.77E-12
2012,trd,soc,1.78E-12
2012,trd,alt,200.9856157
2012,trd,pmt,36.23690362
2012,trd,trk,1.76E-12
2012,trd,fdd,1.78E-12
2012,trd,wtt,1.75E-12
2012,trd,wpd,22.86363842
2012,trd,wht,1.77E-12
2012,trd,wrh,1.77E-12
2012,trd,ott,1.77E-12
2012,trd,che,354.3058851
2012,trd,air,1.77E-12
2012,trd,mmf,172.3739113
2012,trd,otr,1.77E-12
2012,trd,min,5.258789937
2011,trn,ppd,12.07983295
2011,trn,res,8.17E-13
2011,trn,com,8.17E-13
2011,trn,amb,8.16E-13
2011,trn,fbp,25.61446295
2011,trn,rec,8.19E-13
2011,trn,con,8.18E-13
2011,trn,agr,44.42364469
2011,trn,eec,6.01662802
2011,trn,fnd,8.17E-13
2011,trn,pub,3.90280817
2011,trn,hou,8.16E-13
2011,trn,ins,8.18E-13
2011,trn,tex,3.91247463
2011,trn,leg,8.13E-13
2011,trn,fen,8.12E-13
2011,trn,uti,8.15E-13
2011,trn,nmp,15.86364078
2011,trn,brd,8.15E-13
2011,trn,bnk,8.15E-13
2011,trn,ore,8.16E-13
2011,trn,edu,8.16E-13
2011,trn,ote,2.315126799
2011,trn,man,8.14E-13
2011,trn,mch,14.03099733
2011,trn,dat,8.15E-13
