yr,i,m,Value
2000,slg,trn,8.94668E-12
2000,slg,trd,9.01131E-12
2000,pri,trn,8.94114E-12
2000,pri,trd,9.00569E-12
2000,grd,trn,8.8896E-12
2000,grd,trd,8.95363E-12
2000,pip,trn,21.12298456
2000,pip,trd,8.98611E-12
2000,sle,trn,8.94275E-12
2000,sle,trd,9.0073E-12
2000,osv,trn,8.95123E-12
2000,osv,trd,9.0159E-12
2000,trn,trn,32.02105782
2000,trn,trd,9.02269E-12
2000,smn,trn,8.84121E-12
2000,smn,trd,8.90472E-12
2000,fmt,trn,8.94737E-12
2000,fmt,trd,9.01197E-12
2000,pet,trn,8.93644E-12
2000,pet,trd,9.00095E-12
2000,mvt,trn,8.92445E-12
2000,mvt,trd,99.34173949
2000,cep,trn,8.9432E-12
2000,cep,trd,9.00774E-12
2000,wst,trn,8.92543E-12
2000,wst,trd,8.98984E-12
2000,mot,trn,8.94424E-12
2000,mot,trd,9.00882E-12
2000,adm,trn,8.94893E-12
2000,adm,trd,9.01349E-12
2000,soc,trn,8.89336E-12
2000,soc,trd,8.95743E-12
2000,alt,trn,8.9035E-12
2000,alt,trd,8.96764E-12
2000,pmt,trn,8.90151E-12
2000,pmt,trd,8.96566E-12
2000,trk,trn,148.3353564
2000,trk,trd,9.03402E-12
2000,fdd,trn,8.93871E-12
2000,fdd,trd,9.00326E-12
2000,gmt,trn,8.91994E-12
2000,gmt,trd,104.4141145
2000,wtt,trn,8.880105137
2000,wtt,trd,9.02005E-12
2000,wpd,trn,8.93228E-12
2000,wpd,trd,8.99676E-12
2000,wht,trn,8.92491E-12
2000,wht,trd,665.0730378
2000,wrh,trn,8.96339E-12
2000,wrh,trd,9.02816E-12
2000,ott,trn,8.93037E-12
2000,ott,trd,442.6434838
2000,che,trn,8.93576E-12
2000,che,trd,9.00022E-12
2000,air,trn,2.427893115
2000,air,trd,9.01966E-12
2000,mmf,trn,8.91385E-12
2000,mmf,trd,8.97813E-12
2000,otr,trn,1.304561933
2000,otr,trd,9.00839E-12
2000,min,trn,8.92193E-12
2000,min,trd,8.9863E-12
2001,ppd,trn,5.29512E-12
2001,ppd,trd,5.34282E-12
2001,res,trn,5.28767E-12
2001,res,trd,5.3353E-12
2001,com,trn,5.27617E-12
2001,com,trd,5.32362E-12
2001,amb,trn,5.29209E-12
2001,amb,trd,5.33978E-12
2001,fbp,trn,5.29788E-12
2001,fbp,trd,5.34565E-12
2001,rec,trn,5.25993E-12
2001,rec,trd,5.3073E-12
2001,con,trn,5.29759E-12
2001,con,trd,5.34534E-12
2001,agr,trn,5.29435E-12
2001,agr,trd,5.34211E-12
2001,eec,trn,5.28185E-12
2001,eec,trd,5.3294E-12
2001,fnd,trn,5.2885E-12
2001,fnd,trd,5.33614E-12
2001,pub,trn,5.28745E-12
2001,pub,trd,5.33509E-12
2001,hou,trn,5.29452E-12
2001,hou,trd,5.34222E-12
2001,fbt,trn,5.2788E-12
2001,fbt,trd,126.6137412
2001,ins,trn,5.30192E-12
2001,ins,trd,5.34969E-12
2001,tex,trn,5.28267E-12
2001,tex,trd,5.33024E-12
2001,leg,trn,5.31065E-12
2001,leg,trd,5.35852E-12
2001,fen,trn,5.33462E-12
2001,fen,trd,5.38272E-12
2001,uti,trn,5.30736E-12
2001,uti,trd,5.35525E-12
2001,nmp,trn,5.28436E-12
2001,nmp,trd,5.33197E-12
2001,brd,trn,5.30842E-12
2001,brd,trd,5.35631E-12
2001,bnk,trn,5.2989E-12
2001,bnk,trd,5.34662E-12
2001,ore,trn,5.31178E-12
2001,ore,trd,5.35968E-12
2001,edu,trn,5.2897E-12
2001,edu,trd,5.33742E-12
2001,ote,trn,5.27903E-12
2001,ote,trd,5.32655E-12
2001,man,trn,5.31256E-12
2001,man,trd,5.36041E-12
2001,mch,trn,5.29204E-12
2001,mch,trd,5.33972E-12
2001,dat,trn,5.30759E-12
2001,dat,trd,5.35541E-12
2001,amd,trn,5.27766E-12
2001,amd,trd,5.32512E-12
2001,oil,trn,5.26145E-12
2001,oil,trd,5.30874E-12
2001,hos,trn,5.29863E-12
2001,hos,trd,5.34643E-12
2001,rnt,trn,5.30769E-12
2001,rnt,trd,5.35554E-12
2001,pla,trn,5.29538E-12
2001,pla,trd,5.3431E-12
2001,fof,trn,5.24603E-12
2001,fof,trd,5.29319E-12
2001,fin,trn,5.28151E-12
2001,fin,trd,5.32911E-12
2001,tsv,trn,5.29784E-12
2001,tsv,trd,5.34574E-12
2001,nrs,trn,5.26825E-12
2001,nrs,trd,5.31565E-12
2001,sec,trn,5.30401E-12
2001,sec,trd,5.35183E-12
2001,art,trn,5.30131E-12
2001,art,trd,5.34907E-12
2001,mov,trn,5.27085E-12
2001,mov,trd,5.3183E-12
2001,fpd,trn,5.25637E-12
2001,fpd,trd,5.30365E-12
2001,slg,trn,5.29349E-12
2001,slg,trd,5.34122E-12
2001,pri,trn,5.2873E-12
2001,pri,trd,5.3349E-12
2001,grd,trn,5.2567E-12
2001,grd,trd,5.30397E-12
2001,pip,trn,20.95543654
2001,pip,trd,5.339E-12
2001,sle,trn,5.29062E-12
2001,sle,trd,5.33828E-12
2001,osv,trn,5.29807E-12
2001,osv,trd,5.34583E-12
2001,trn,trn,32.15177008
2001,trn,trd,5.35111E-12
2001,smn,trn,5.24304E-12
2001,smn,trd,5.29018E-12
2001,fmt,trn,5.2953E-12
2001,fmt,trd,5.34301E-12
2001,pet,trn,5.29152E-12
