yr,j,Value
2011,hou,0.123829678
2011,fbt,0.015376007
2011,ins,0.007848708
2011,tex,0.011355249
2011,leg,0.003681109
2011,uti,0.060414621
2011,nmp,0.01300858
2011,brd,0.005488598
2011,bnk,0.021921603
2011,ore,0.026371846
2011,edu,0.023629542
2011,ote,0.00870077
2011,man,0.016026224
2011,mch,0.008657292
2011,dat,0.009033034
2011,amd,0.024698285
2011,oil,0.04643888
2011,hos,0.014534728
2011,rnt,0.023397301
2011,pla,0.007019993
2011,fof,0.019389439
2011,fin,0.007195572
2011,tsv,0.006933541
2011,nrs,0.014457109
2011,sec,0.009324009
2011,art,0.015416793
2011,mov,0.028962201
2011,fpd,0.006228458
2011,pri,0.009159906
2011,grd,0.017733199
2011,pip,0.069813373
2011,osv,0.016390646
2011,trn,0.012709947
2011,smn,0.017184218
2011,fmt,0.007865704
2011,pet,0.003284547
2011,mvt,0.018058164
2011,cep,0.019097487
2011,wst,0.021416601
2011,mot,0.005590548
2011,adm,0.004731616
2011,soc,0.005686469
2011,alt,0.011481288
2011,pmt,0.008170623
2011,trk,0.012128061
2011,gmt,0.016247223
2011,wtt,0.013259498
2011,wpd,0.008109888
2011,wht,0.007909226
2011,wrh,0.005997662
2011,ott,0.016180437
2011,che,0.01424937
2011,air,0.016959068
2011,mmf,0.009619189
2011,otr,0.011012423
2011,min,0.017179778
2012,ppd,0.009264134
2012,res,0.006459038
2012,com,0.004151565
2012,amb,0.007794483
2012,fbp,0.00618819
2012,rec,0.025381026
2012,con,0.0057961
2012,agr,0.019826679
2012,eec,0.008359161
2012,pub,0.009068367
2012,hou,0.121103089
2012,fbt,0.015164645
2012,ins,0.007210213
2012,tex,0.011260956
2012,leg,0.003570191
2012,uti,0.065075524
2012,nmp,0.012086929
2012,brd,0.005287332
2012,bnk,0.020063155
2012,ore,0.024690706
2012,edu,0.023576135
2012,ote,0.007621022
2012,man,0.015099578
2012,mch,0.007892509
2012,dat,0.007949061
2012,amd,0.022699652
2012,oil,0.051546392
2012,hos,0.013940523
2012,rnt,0.023661637
2012,pla,0.006451315
2012,fof,0.021268318
2012,fin,0.006957589
2012,tsv,0.006747482
2012,nrs,0.014209961
2012,sec,0.00810907
2012,art,0.014590372
2012,mov,0.028388008
2012,fpd,0.005388374
2012,pri,0.008971638
2012,grd,0.017001453
2012,pip,0.068614784
2012,osv,0.015576753
2012,trn,0.013604679
2012,smn,0.016255431
2012,fmt,0.007637763
2012,pet,0.003305958
2012,mvt,0.016157654
2012,cep,0.019314536
2012,wst,0.021239307
2012,mot,0.005510212
2012,adm,0.004530301
2012,soc,0.005605561
2012,alt,0.01441178
2012,pmt,0.0084502
2012,trk,0.011825103
2012,gmt,0.016477589
2012,wtt,0.012848603
2012,wpd,0.007228677
2012,wht,0.007397715
2012,wrh,0.005376393
2012,ott,0.01532873
2012,che,0.014331737
2012,air,0.016801873
2012,mmf,0.010178232
2012,otr,0.010482237
2012,min,0.019072646
