yr,va,j,Value
2001,surplus,otr,18.34300223
2001,surplus,min,11.71307533
2001,compen,ppd,33.30592434
2001,compen,res,132.8423266
2001,compen,com,111.8066322
2001,compen,amb,234.8993981
2001,compen,fbp,73.36961402
2001,compen,rec,30.17934488
2001,compen,con,326.6331088
2001,compen,agr,20.75756136
2001,compen,eec,30.28606645
2001,compen,fnd,88.66477812
2001,compen,pub,75.97101089
2001,compen,hou,11.14837035
2001,compen,fbt,67.75325323
2001,compen,ins,143.2234618
2001,compen,tex,18.50483534
2001,compen,leg,81.2056702
2001,compen,fen,53.91765964
2001,compen,uti,54.0877133
2001,compen,nmp,26.16700819
2001,compen,brd,109.5805804
2001,compen,bnk,151.6596519
2001,compen,ore,45.66812019
2001,compen,edu,79.95391248
2001,compen,ote,51.62528507
2001,compen,man,150.8532477
2001,compen,mch,75.52149709
2001,compen,dat,33.50550068
2001,compen,amd,50.79811896
2001,compen,oil,14.11253127
2001,compen,hos,177.0937233
2001,compen,rnt,24.68624053
2001,compen,pla,38.91004297
2001,compen,fof,10.45379109
2001,compen,fin,1.183839188
2001,compen,tsv,284.8616878
2001,compen,nrs,68.81647164
2001,compen,sec,155.0735281
2001,compen,art,27.93406132
2001,compen,mov,22.47160681
2001,compen,fpd,22.78780927
2001,compen,slg,784.4436851
2001,compen,pri,34.33739165
2001,compen,grd,10.76465325
2001,compen,pip,4.71651108
2001,compen,sle,61.86830765
2001,compen,osv,178.0492995
2001,compen,trn,15.88236011
2001,compen,smn,11.42692518
2001,compen,fmt,77.84551012
2001,compen,pet,12.06966429
2001,compen,mvt,81.36193595
2001,compen,cep,136.9678884
2001,compen,wst,15.19688414
2001,compen,mot,74.02454552
2001,compen,adm,209.1696293
2001,compen,soc,44.15418265
2001,compen,alt,14.34024742
2001,compen,pmt,34.95407896
2001,compen,trk,59.52573547
2001,compen,fdd,125.9962138
2001,compen,gmt,57.47678636
2001,compen,wtt,3.662855388
2001,compen,wpd,21.55304102
2001,compen,wht,328.7913113
2001,compen,wrh,20.15952608
2001,compen,ott,207.8005685
2001,compen,che,74.72842337
2001,compen,air,44.51937816
2001,compen,mmf,37.40278331
2001,compen,otr,49.70195629
2001,compen,min,13.19851939
2002,surplus,ppd,20.83010898
2002,surplus,res,52.29305352
2002,surplus,com,8.329715585
2002,surplus,amb,77.17654854
2002,surplus,fbp,82.29797227
2002,surplus,rec,9.78374004
2002,surplus,con,160.4885435
2002,surplus,agr,58.9636313
2002,surplus,eec,14.59306875
2002,surplus,fnd,61.5856441
2002,surplus,pub,64.59525838
2002,surplus,hou,893.5428861
2002,surplus,fbt,28.01583663
2002,surplus,ins,89.18866077
2002,surplus,tex,5.791016405
2002,surplus,leg,56.1428439
2002,surplus,fen,12.15631073
2002,surplus,uti,86.84826177
2002,surplus,nmp,14.85897592
2002,surplus,brd,143.3279653
2002,surplus,bnk,214.9758247
2002,surplus,ore,159.4937361
2002,surplus,edu,13.53422633
2002,surplus,ote,20.56267736
2002,surplus,man,19.05129832
2002,surplus,mch,26.81731293
2002,surplus,dat,26.34217591
2002,surplus,amd,29.89637666
2002,surplus,oil,45.57438409
2002,surplus,hos,27.40533469
2002,surplus,rnt,111.2829235
2002,surplus,pla,22.88618156
2002,surplus,fof,9.904086237
2002,surplus,fin,15.03828465
2002,surplus,tsv,163.6635809
2002,surplus,nrs,4.000079417
2002,surplus,sec,25.22362008
2002,surplus,art,22.82777962
2002,surplus,mov,45.47779788
2002,surplus,fpd,8.399801709
2002,surplus,slg,101.2719376
2002,surplus,pri,8.692034988
2002,surplus,grd,7.487080502
2002,surplus,pip,4.976690397
2002,surplus,sle,28.68606763
2002,surplus,osv,83.11889409
2002,surplus,trn,6.030882145
2002,surplus,smn,4.407524094
2002,surplus,fmt,30.00382894
2002,surplus,pet,37.73976407
2002,surplus,mvt,32.66821546
2002,surplus,cep,47.1754036
2002,surplus,wst,12.58079818
2002,surplus,mot,58.89183448
2002,surplus,adm,53.12641998
2002,surplus,soc,10.6118665
2002,surplus,alt,5.067352438
2002,surplus,pmt,11.51939668
2002,surplus,trk,32.39446217
2002,surplus,fdd,103.0818972
2002,surplus,gmt,13.42306907
2002,surplus,wtt,3.22385715
2002,surplus,wpd,5.137872409
2002,surplus,wht,147.4202648
2002,surplus,wrh,5.554854999
2002,surplus,ott,92.15044493
2002,surplus,che,126.5590039
2002,surplus,air,12.8040271
2002,surplus,mmf,22.61997215
2002,surplus,otr,20.84844598
2002,surplus,min,12.07709224
2002,compen,ppd,32.4627316
2002,compen,res,138.4249691
2002,compen,com,99.48017339
2002,compen,amb,251.5885328
2002,compen,fbp,74.56777796
2002,compen,rec,31.77236271
2002,compen,con,327.3262624
2002,compen,agr,20.73611888
2002,compen,eec,28.02468914
2002,compen,fnd,97.71234245
2002,compen,pub,69.60282106
2002,compen,hou,11.93853816
2002,compen,fbt,69.29143238
2002,compen,ins,147.2151271
2002,compen,tex,17.45354901
2002,compen,leg,85.31861178
2002,compen,fen,54.51726572
2002,compen,uti,54.85428072
2002,compen,nmp,25.75370084
2002,compen,brd,104.7590291
2002,compen,bnk,161.8555371
2002,compen,ore,49.29222708
2002,compen,edu,88.99754805
2002,compen,ote,50.84254379
2002,compen,man,150.9555528
2002,compen,mch,69.51178605
2002,compen,dat,33.62585184
2002,compen,amd,49.91985183
2002,compen,oil,13.27587249
2002,compen,hos,191.7024543
2002,compen,rnt,25.09923558
2002,compen,pla,38.6006886
2002,compen,fof,10.80020342
2002,compen,fin,1.193770077
2002,compen,tsv,285.5168274
2002,compen,nrs,74.4066798
2002,compen,sec,138.0341148
2002,compen,art,29.69014903
2002,compen,mov,21.74864042
2002,compen,fpd,22.32759311
2002,compen,slg,827.8662389
2002,compen,pri,32.64377506
2002,compen,grd,11.08408003
2002,compen,pip,3.649315715
2002,compen,sle,65.58944628
2002,compen,osv,189.258531
2002,compen,trn,15.48263876
2002,compen,smn,10.35768162
2002,compen,fmt,74.22395342
2002,compen,pet,11.22660055
2002,compen,mvt,84.28040019
2002,compen,cep,119.9514048
2002,compen,wst,15.80952499
2002,compen,mot,73.6759277
2002,compen,adm,212.2231885
2002,compen,soc,48.06968661
2002,compen,alt,12.62179158
2002,compen,pmt,32.16915254
2002,compen,trk,59.0475594
2002,compen,fdd,143.0877204
2002,compen,gmt,60.85534377
2002,compen,wtt,3.77290278
2002,compen,wpd,21.40018267
2002,compen,wht,326.5813362
2002,compen,wrh,20.53969727
2002,compen,ott,210.3219136
2002,compen,che,73.91589786
2002,compen,air,38.54200818
2002,compen,mmf,36.91303053
2002,compen,otr,49.43393047
2002,compen,min,12.28384411
2003,surplus,ppd,17.86381456
2003,surplus,res,51.62272256
2003,surplus,com,15.55829845
2003,surplus,amb,77.77189012
2003,surplus,fbp,81.97904013
2003,surplus,rec,10.60021923
2003,surplus,con,183.313689
2003,surplus,agr,79.14846992
2003,surplus,eec,16.77354057
2003,surplus,fnd,63.84016695
