t_elas_y,,,,,,,,,,,,,,,,,,,,,,,
"PA[(:agr,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:eec,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:fnd,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:pub,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:hou,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:ins,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:tex,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:leg,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:fen,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:uti,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:nmp,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:brd,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:bnk,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:ore,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:edu,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:ote,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:man,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:mch,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:dat,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:amd,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:oil,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:hos,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:rnt,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:pla,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:fof,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:fin,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:tsv,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:nrs,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:sec,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:art,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:mov,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:fpd,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:slg,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:pri,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:grd,)]",11,,,,,,,,,,,,,,,,,,,,,,
"PA[(:pip,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:sle,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:osv,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:trn,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:smn,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:fmt,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:pet,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:cep,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:wst,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:mot,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:adm,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:soc,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:alt,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:pmt,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:trk,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:fdd,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:wtt,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:wpd,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:wht,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:wrh,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:ott,)]",12,,,,,,,,,,,,,,,,,,,,,,
"PA[(:che,)]",13,,,,,,,,,,,,,,,,,,,,,,
"PA[(:air,)]",13,,,,,,,,,,,,,,,,,,,,,,
"PA[(:mmf,)]",13,,,,,,,,,,,,,,,,,,,,,,
"PA[(:otr,)]",13,,,,,,,,,,,,,,,,,,,,,,
"PA[(:min,)]",13,,,,,,,,,,,,,,,,,,,,,,
"PY[(:ppd,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:res,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:com,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:amb,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:fbp,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:rec,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:con,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:agr,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:eec,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:fnd,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:pub,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:hou,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:fbt,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:ins,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:tex,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:leg,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:fen,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:uti,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:nmp,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:brd,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:bnk,)]",14,,,,,,,,,,,,,,,,,,,,,,
"PY[(:ore,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:edu,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:ote,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:man,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:mch,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:dat,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:amd,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:oil,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:hos,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:rnt,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:pla,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:fof,)]",15,,,,,,,,,,,,,,,,,,,,,,
